model;core;flow;base_frequency;unit_of_clock_frequency;max_boost_frequency;unit_of_max_boost_frequency;cache;unit_of_cache;tdp;unit_of_tdp;socket;memory_type;memory_count;cpu_scale
Xeon Gold 6246R;16;32;3.4;GHz;4.1;GHz;35.75;MB;205;W;LGA 3647;DDR4-2933;6;2S
Xeon Gold 6240;18;36;2.6;GHz;3.9;GHz;24.75;MB;150;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6240C;18;36;2.6;GHz;3.9;GHz;24.75;MB;150;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6126;12;24;2.6;GHz;3.7;GHz;19.25;MB;125;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6126F;12;24;2.6;GHz;3.7;GHz;19.25;MB;135;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6126T;12;24;2.6;GHz;3.7;GHz;19.25;MB;125;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6128;6;12;3.4;GHz;3.7;GHz;19.25;MB;115;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6132;14;28;2.6;GHz;3.7;GHz;19.25;MB;140;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6240L;18;36;2.6;GHz;3.9;GHz;24.75;MB;150;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6240M;18;36;2.6;GHz;3.9;GHz;24.75;MB;150;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 5218;16;32;2.3;GHz;3.9;GHz;22.00;MB;125;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 5218B;16;32;2.3;GHz;3.9;GHz;22.00;MB;125;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 5218N;16;32;2.3;GHz;3.7;GHz;22.00;MB;125;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 5218T;16;32;2.1;GHz;3.8;GHz;22.00;MB;105;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 5219Y;16;32;2.4;GHz;4.0;GHz;22.00;MB;125;W;LGA 3647;DDR4-2666;6;2S
Xeon Gold 6127M;16;32;2.2;GHz;2.2;GHz;22.00;MB;145;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6240Y;18;36;2.6;GHz;3.9;GHz;24.75;MB;150;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6253CL;18;36;3.1;GHz;3.9;GHz;24.75;MB;205;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6253W;18;36;3.1;GHz;4.4;GHz;24.75;MB;200;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6254;18;36;3.1;GHz;4.0;GHz;24.75;MB;200;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6222;20;40;1.8;GHz;3.6;GHz;27.50;MB;115;W;LGA 3647;DDR4-2400;6;2S
Xeon Gold 6222V;20;40;1.8;GHz;3.6;GHz;27.50;MB;115;W;LGA 3647;DDR4-2400;6;4S
Xeon Gold 6230;20;40;2.1;GHz;3.9;GHz;27.50;MB;125;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6130;16;32;2.1;GHz;3.7;GHz;22.00;MB;125;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6130F;16;32;2.1;GHz;3.7;GHz;22.00;MB;135;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6130H;16;32;2.1;GHz;3.7;GHz;22.00;MB;125;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6130T;16;32;2.1;GHz;3.7;GHz;22.00;MB;125;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6142;16;32;2.6;GHz;3.7;GHz;22.00;MB;150;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6142F;16;32;2.6;GHz;3.7;GHz;22.00;MB;160;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6142M;16;32;2.6;GHz;3.7;GHz;22.00;MB;150;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6143;16;32;2.8;GHz;3.7;GHz;22.00;MB;165;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6149;16;32;3.1;GHz;3.4;GHz;22.00;MB;205;W;LGA 3647;DDR4-2666;6;4S
Xeon Platinum 8153;16;32;2.0;GHz;2.8;GHz;22.00;MB;125;W;LGA 3647;DDR4-2666;6;8S
Xeon Gold 5220;18;36;2.2;GHz;3.9;GHz;24.75;MB;125;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 5220S;18;36;2.7;GHz;3.9;GHz;24.75;MB;125;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 5220T;18;36;1.9;GHz;3.9;GHz;24.75;MB;105;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6131;8;16;4.0;GHz;4.3;GHz;24.75;MB;205;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6134;8;16;3.2;GHz;3.7;GHz;24.75;MB;130;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6134M;8;16;3.2;GHz;3.7;GHz;24.75;MB;130;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6135;8;16;3.4;GHz;4.2;GHz;24.75;MB;155;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6135M;8;16;3.5;GHz;4.0;GHz;24.75;MB;155;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6136;12;24;3.0;GHz;3.7;GHz;24.75;MB;150;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6137;8;16;3.9;GHz;4.1;GHz;24.75;MB;205;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6137M;8;16;3.9;GHz;4.1;GHz;24.75;MB;205;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6139;18;36;2.3;GHz;3.7;GHz;24.75;MB;135;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6139M;18;36;2.3;GHz;3.7;GHz;24.75;MB;135;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6140;18;36;2.3;GHz;3.7;GHz;24.75;MB;140;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6140M;18;36;2.3;GHz;3.7;GHz;24.75;MB;140;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6144;8;16;3.5;GHz;4.2;GHz;24.75;MB;150;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6146;12;24;3.2;GHz;4.2;GHz;24.75;MB;165;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6150;18;36;2.7;GHz;3.7;GHz;24.75;MB;165;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6151;18;36;3.0;GHz;3.7;GHz;24.75;MB;205;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6154;18;36;3.0;GHz;3.7;GHz;24.75;MB;200;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6230N;20;40;2.3;GHz;3.5;GHz;27.50;MB;125;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6230T;20;40;2.1;GHz;3.9;GHz;27.50;MB;125;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6248;20;40;2.5;GHz;3.9;GHz;27.50;MB;150;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6242R;20;40;3.1;GHz;4.1;GHz;35.75;MB;205;W;LGA 3647;DDR4-2933;6;2S
Xeon Gold 5218R;20;40;2.1;GHz;4.0;GHz;27.50;MB;125;W;LGA 3647;DDR4-2666;6;2S
Xeon Gold 6122;20;40;1.8;GHz;3.7;GHz;27.50;MB;120;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6133;20;40;2.5;GHz;3.0;GHz;27.50;MB;150;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6138;20;40;2.0;GHz;3.7;GHz;27.50;MB;125;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6138F;20;40;2.0;GHz;3.7;GHz;27.50;MB;135;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6138P;20;40;2.0;GHz;3.7;GHz;27.50;MB;195;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6138T;20;40;2.0;GHz;3.7;GHz;27.50;MB;125;W;LGA 3647;DDR4-2666;6;4S
Xeon Platinum 8124M;18;36;3.0;GHz;3.5;GHz;24.75;MB;240;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8151;12;24;3.4;GHz;4.0;GHz;24.75;MB;240;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum 8158;12;24;3.0;GHz;3.7;GHz;24.75;MB;150;W;LGA 3647;DDR4-2666;6;8S
Xeon Platinum P-8124;18;36;3.0;GHz;3.5;GHz;24.75;MB;240;W;LGA 3647;DDR4-2666;6;8S
Xeon Gold 6145;20;40;2.0;GHz;3.7;GHz;27.50;MB;145;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6147M;20;40;2.5;GHz;3.0;GHz;27.50;MB;150;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6148;20;40;2.4;GHz;3.7;GHz;27.50;MB;150;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 6233;24;48;2.5;GHz;3.9;GHz;33.00;MB;165;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6262;24;48;1.9;GHz;3.6;GHz;33.00;MB;135;W;LGA 3647;DDR4-2400;6;2S
Xeon Gold 6262V;24;48;1.9;GHz;3.6;GHz;33.00;MB;135;W;LGA 3647;DDR4-2400;6;4S
Xeon Gold 6263CY;24;48;2.6;GHz;4.0;GHz;33.00;MB;205;W;LGA 3647;DDR4-2933;6;4S
