ProcessorEntity(model=Xeon Gold 6248R, core=24, flow=48, baseFrequency=3.0, unitOfClockFrequency=GHz, maxBoostFrequency=4.0, unitOfMaxBoostFrequency=GHz, cache=35.75, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=2S)
ProcessorEntity(model=Xeon Gold 6269Y, core=22, flow=44, baseFrequency=3.2, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=30.25, unitOfCache=MB, tdp=240, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=2S)
ProcessorEntity(model=Xeon Gold 6249C, core=26, flow=52, baseFrequency=2.6, unitOfClockFrequency=GHz, maxBoostFrequency=2.6, unitOfMaxBoostFrequency=GHz, cache=26.0, unitOfCache=MB, tdp=165, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6278C, core=26, flow=52, baseFrequency=2.6, unitOfClockFrequency=GHz, maxBoostFrequency=3.5, unitOfMaxBoostFrequency=GHz, cache=35.75, unitOfCache=MB, tdp=185, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=4S)
ProcessorEntity(model=Xeon Gold 6258R, core=28, flow=56, baseFrequency=2.7, unitOfClockFrequency=GHz, maxBoostFrequency=4.0, unitOfMaxBoostFrequency=GHz, cache=38.5, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2933, memoryCount=6, cpuScale=2S)
ProcessorEntity(model=Xeon Platinum 8163, core=24, flow=48, baseFrequency=2.4, unitOfClockFrequency=GHz, maxBoostFrequency=3.1, unitOfMaxBoostFrequency=GHz, cache=33.0, unitOfCache=MB, tdp=165, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=8S)
ProcessorEntity(model=Xeon Platinum 8168, core=24, flow=48, baseFrequency=2.7, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=33.0, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=8S)
ProcessorEntity(model=Xeon Platinum 8174, core=24, flow=48, baseFrequency=3.1, unitOfClockFrequency=GHz, maxBoostFrequency=3.9, unitOfMaxBoostFrequency=GHz, cache=33.0, unitOfCache=MB, tdp=240, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=8S)
ProcessorEntity(model=Xeon Platinum 8175M, core=24, flow=48, baseFrequency=2.5, unitOfClockFrequency=GHz, maxBoostFrequency=3.5, unitOfMaxBoostFrequency=GHz, cache=33.0, unitOfCache=MB, tdp=240, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=8S)
ProcessorEntity(model=Xeon Platinum 8172M, core=26, flow=52, baseFrequency=2.6, unitOfClockFrequency=GHz, maxBoostFrequency=3.7, unitOfMaxBoostFrequency=GHz, cache=35.75, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=8S)
ProcessorEntity(model=Xeon Platinum 8179M, core=26, flow=52, baseFrequency=2.4, unitOfClockFrequency=GHz, maxBoostFrequency=3.5, unitOfMaxBoostFrequency=GHz, cache=35.75, unitOfCache=MB, tdp=240, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=8S)
ProcessorEntity(model=Xeon Platinum 8180, core=28, flow=56, baseFrequency=2.5, unitOfClockFrequency=GHz, maxBoostFrequency=3.8, unitOfMaxBoostFrequency=GHz, cache=38.5, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=8S)
ProcessorEntity(model=Xeon Platinum 8180M, core=28, flow=56, baseFrequency=2.5, unitOfClockFrequency=GHz, maxBoostFrequency=3.8, unitOfMaxBoostFrequency=GHz, cache=38.5, unitOfCache=MB, tdp=205, unitOfTdp=W, socket=LGA 3647, memoryType=DDR4-2666, memoryCount=6, cpuScale=8S)
MotherboardEntity(model=X10DRH-iLN4, socket=2011-3, processorsCount=DP, dimmCount=16, chipset=C612, size=E-ATX, pciEx40=0, pciEx32=0, pciEx16=2, pciEx8=4, pciEx4=0, pciEx1=0, m2sata=0, m2pciEx4=0, usb2internal=2, usb2external=2, usb3internal=3, usb3external=2, superDom=2, comExternal=1, comInternal=0, lanCount=4, lanSpeed=1, lanSpeedUnit=Gb/s, sataCount=10, isSas=true)
MotherboardEntity(model=X10DRH-CLN4, socket=2011-3, processorsCount=DP, dimmCount=16, chipset=C612, size=E-ATX, pciEx40=0, pciEx32=0, pciEx16=2, pciEx8=4, pciEx4=0, pciEx1=0, m2sata=0, m2pciEx4=0, usb2internal=5, usb2external=0, usb3internal=3, usb3external=2, superDom=2, comExternal=1, comInternal=1, lanCount=4, lanSpeed=1, lanSpeedUnit=Gb/s, sataCount=10, isSas=true)
